ent,id_ent,n_causa,pob,tasa_causa
Aguascalientes,1,478,73447.77606609999,65.08025506038734
Baja California,2,1194,183576.83565999998,65.04088577991345
Baja California Sur,3,199,37235.8302217,53.44314839098937
Campeche,4,398,55510.5892377,71.69803193688645
Chiapas,7,1955,280047.50323535,69.8095850673245
Chihuahua,8,1599,241770.27445178,66.13716279330747
Coahuila,5,1578,195028.38276051,80.91130007152574
Colima,6,445,48694.467433,91.38615195089406
Distrito Federal,9,6261,807247.998167,77.55980831438062
Durango,10,696,123424.0528537,56.39095329538398
Guanajuato,11,3424,379330.1589335,90.26437575189634
Guerrero,12,1969,256673.9068837,76.71212176982844
Hidalgo,13,1289,204197.6349721,63.125118965071216
Jalisco,14,4046,548195.3176129999,73.80581099483753
México,15,8020,981630.5620158999,81.70079773728659
Michoacán,16,2772,350477.12323070003,79.09218080905507
Morelos,17,1145,145951.3847027,78.45078019179755
Nayarit,18,548,89973.3164698,60.90694680393814
Nuevo León,19,2112,342139.60404189996,61.72918817493443
Oaxaca,20,1998,321135.025244581,62.21681980899763
Puebla,21,3660,415590.31267619,88.06750033299534
Querétaro,22,687,112564.6466349,61.031595668599536
Quintana Roo,23,445,56529.636152,78.71977077712998
San Luis Potosí,24,1169,207253.1131548,56.404460333816985
Sinaloa,25,1205,218341.8537069,55.188685977612906
Sonora,26,1177,193808.07616988,60.73018334738103
Tabasco,27,1256,137372.910877,91.42996184484936
Tamaulipas,28,1826,240934.40809723,75.7882618103725
Tlaxcala,29,690,78979.72907237,87.36418928048556
Veracruz,30,5390,648538.06619394,83.11000203322168
Yucatán,31,1028,159438.68761715,64.4761955434851
Zacatecas,32,747,121251.3321457,61.60757055455504
